Day,RICS prices,Sales expectation,RICSNBESAP,RICSNISSAP,RICSASSA
2018-10-31,13.8,-11.0832789,-14.06231006,-13.06662947,-10.34331126
2018-11-30,13.8,-23.32318335,-21.18650148,-25.54372232,-14.79401097
2018-12-31,13.6,-22.59135853,-20.94859031,-24.5235696,-16.34026323
2019-01-31,13.2,-27.4872332,-27.14528925,-18.92122493,-20.62516748
2019-02-28,13.2,-26.40991363,-26.44036637,-20.06176309,-20.80714184
2019-03-31,13.0,-19.76124779,-18.35630807,-21.72472495,-17.87574727
2019-04-30,13.0,-8.28248344,-22.19827346,-23.16270278,-18.31078849
2019-05-31,13.3,-10.1993443,-2.559782461,-5.158809095,-7.783017453
2019-06-30,12.9,1.954704379,1.154273487,-10.10119642,-2.415795348
2019-07-31,13.3,-10.69393189,-4.649984571,-12.35136671,-12.00426137
2019-08-31,13.1,-21.91593751,-8.793600875,-12.48128376,-18.3482863
2019-09-30,12.8,-6.941857077,-17.91303359,-35.63166922,-29.18214298
2019-10-31,12.0,1.856094006,-16.58466977,-31.2134359,-19.42603426
2019-11-30,12.8,12.47284657,-3.954695407,-9.051169585,-4.16910628
2019-12-31,13.1,38.94159865,17.060118,6.847511789,9.810274381
2020-01-31,14.3,39.4090322,35.15257996,31.44209149,29.3193701
2020-02-29,15.9,23.28787682,28.83289441,19.51153482,29.19768695
2020-03-31,13.4,-95.31595403,-77.11843928,-72.81190203,-72.59030488
2020-04-30,7.2,-62.47841168,-97.78173928,-96.62308249,-93.39409107
2020-05-31,7.0,-1.05185496,-5.214163916,-14.23337291,-30.8893227
2020-06-30,9.6,18.22738359,58.93883573,38.94364306,44.01836945
2020-07-31,12.5,22.02575981,76.08698672,56.10975957,60.68954538
2020-08-31,14.4,21.91341965,58.74752042,43.211024,55.53938687
2020-09-30,15.2,12.06617211,46.26939963,36.67919172,48.52159024
2020-10-31,18.2,13.91384955,40.08141508,23.08475628,37.46640205
2020-11-30,19.3,-3.466217388,25.85488628,10.39695265,26.76928016
2020-12-31,19.5,-13.56502873,15.69144075,2.133112959,21.47144426
2021-01-31,18.4,-27.25100336,-24.6281981,-37.60231664,-15.73891915
2021-02-28,19.1,10.89005445,0.437062616,-28.72872553,6.014950771
2021-03-31,20.6,28.15364488,36.90765591,14.62469896,38.10664873
2021-04-30,21.5,15.20398784,35.30124852,-3.834860861,28.86448185
2021-05-31,21.6,3.308153139,21.69072857,-25.87960606,17.02828724
2021-06-30,21.6,-0.947968322,13.48682286,-36.5974701,0.967194342
2021-07-31,20.5,6.720244953,-7.401234738,-43.98483923,-23.85505501
2021-08-31,19.8,7.541341377,-7.300489019,-29.78326614,-15.13471237
2021-09-30,19.1,11.68425232,3.863466949,-29.71894861,-10.68814548
2021-10-31,18.1,14.6870777,17.53577858,-16.83645103,-0.219425999
2021-11-30,17.6,17.39483752,11.38759572,-16.82271604,-4.716972064
2021-12-31,16.6,21.48140163,8.470818565,-8.474994519,-6.147695783
2022-01-31,17.6,22.67163403,15.69096745,-2.194254218,4.034144747
2022-02-28,18.9,10.10805076,9.089307445,-6.335949759,4.165855484
2022-03-31,18.5,5.250910056,-2.509020604,3.177341145,-0.592056037
2022-04-30,19.2,2.369616917,1.498654951,-6.217904794,-11.77414423
2022-05-31,18.0,-8.457528359,-17.57018558,-7.0938878,-13.51054267
2022-06-30,17.5,-9.104580226,-22.41143395,-4.845701718,-14.43604818
2022-07-31,16.6,-17.08203112,-20.34758921,-2.832983647,-10.4690113
2022-08-31,15.6,-25.31407671,-32.07635096,-8.862435678,-18.18976549
2022-09-30,15.1,-31.41258836,-32.06074643,-10.189864,-25.67156582
2022-10-31,14.3,-36.90148182,-50.21569349,-15.83325887,-41.79963015
2022-11-30,13.9,-44.66450073,-37.85708629,-8.82528832,-34.41887314
2022-12-31,13.3,-50.29990982,-39.73567306,-20.64809884,-37.61821305
2023-01-31,13.3,-44.13001277,-44.33693177,-10.14349954,-33.3410959
2023-02-28,13.1,-43.44293644,-31.26232889,-4.528632217,-25.24140381
2023-03-31,12.4,-30.65349427,-31.08805344,-5.880273994,-31.62904647
2023-04-30,12.4,-20.12910932,-38.62431799,-5.648687137,-22.54638419
2023-05-31,13.8,-11.23832587,-21.60682952,11.70165062,-10.01584831
2023-06-30,12.8,-38.84838718,-46.2795874,-6.07291405,-37.76150325
2023-07-31,12.4,-44.68066264,-44.48313291,-16.28677002,-45.16951615
2023-08-31,12.1,-35.14363399,-44.66800086,-24.6919716,-44.5553269
2023-09-30,12.7,-19.8965988,-35.5270113,-14.3390539,-33.52244921
2023-10-31,13.2,-16.29735562,-24.87230251,-5.39471066,-22.59027758
2023-11-30,13.9,6.668059603,-13.01461758,-3.4,-10.2424908
2023-12-31,14.9,12.35982231,-2.8,1.8,-5.3
2024-01-31,16.0,14.0,6.7,11.3,5.3
