,ricsp,RICSEXPSALSAP,RICSNBESAP,RICSNISSAP,RICSASSA
Dec-10,15.1,12.62737595,-9.640449111,-10.82122956,-11.21895125
Jan-11,14.6,11.79394109,3.062516132,4.521975563,-11.76455681
Feb-11,14.6,15.64492869,2.093007066,7.37185438,0.757330519
Mar-11,14.2,8.592245371,-5.396609267,4.935629735,3.204419143
Apr-11,14.7,11.91952099,-3.935385918,14.80367417,4.891805782
May-11,14.3,9.915264057,-1.417922093,10.214407,2.027814751
Jun-11,14.7,14.21763919,4.125970969,2.67496759,8.421576699
Jul-11,14.5,13.76651636,4.652745176,-6.42560168,8.145044908
Aug-11,14.5,16.78795426,-0.893484682,-3.689874887,-1.341335772
Sep-11,15.0,5.752672084,0.529704362,-4.095848852,-4.761469061
Oct-11,15.3,11.19065777,-0.981345234,2.015919054,6.717627326
Nov-11,15.5,1.043334469,3.018461,8.028651658,16.90502909
Dec-11,15.3,-0.927390807,0.095707818,12.90482336,5.00096722
Jan-12,15.7,26.838679,1.487275734,5.119492218,6.451055063
Feb-12,15.6,26.10035298,6.299045774,8.527229509,6.981906409
Mar-12,15.0,25.74175135,13.76137606,2.154309812,11.94918539
Apr-12,15.5,17.38144071,3.531527387,1.471285856,-7.129456458
May-12,15.0,9.492819529,-0.751457487,-3.285326688,-5.386232512
Jun-12,15.2,10.79340244,-7.668336659,-9.332721467,-4.022759401
Jul-12,15.3,10.51249702,-5.823973839,-13.53980245,-15.46325695
Aug-12,15.4,15.8886701,-9.195450234,-2.277400104,2.201002373
Sep-12,15.2,21.01915612,4.324173737,4.546172293,-4.98385677
Oct-12,15.5,16.55880622,11.81347122,9.126123639,18.8850823
Nov-12,16.2,1.93164428,3.970733613,0.849298269,9.772430007
Dec-12,15.8,19.65131743,7.675438135,0.100772292,0.835518415
Jan-13,16.1,12.83321212,-3.204343324,-6.003460132,11.09608014
Feb-13,16.7,18.94308408,9.478806052,3.535595612,19.40378798
Mar-13,16.9,27.98088485,17.72720394,6.748661528,13.52393457
Apr-13,16.6,32.44681585,28.46384274,14.14644043,22.01421266
May-13,17.4,38.92024933,33.79454027,19.92697404,30.97768983
Jun-13,17.0,45.47611423,38.73503751,13.29312664,26.23518195
Jul-13,17.3,50.7094261,51.83572108,14.84357211,38.49140348
Aug-13,18.3,45.30739546,63.32060616,21.45989793,58.119003
Sep-13,19.2,52.29032245,45.24104912,6.695201253,51.97029175
Oct-13,20.8,62.74867459,53.89064773,1.960774386,43.87552774
Nov-13,21.2,61.353691,59.37677836,1.596873837,40.84198122
Dec-13,21.8,47.9546499,43.30413434,0.138289542,32.70197989
Jan-14,21.3,37.84414055,29.7359336,-7.122539344,24.46506662
Feb-14,20.9,38.34187727,22.97484836,-15.19230271,15.39842995
Mar-14,22.3,38.11694994,22.95496842,-6.146530707,20.87331078
Apr-14,22.7,39.4043469,22.33626574,-1.767484541,28.08621103
May-14,22.6,37.28052051,14.45180322,2.517522246,19.10236106
Jun-14,23.9,32.4757924,8.313536079,5.249210998,11.70705417
Jul-14,24.1,28.17000214,-3.844345824,8.471769686,9.997150973
Aug-14,22.2,24.20751966,-18.55164935,-15.45720923,-21.94312749
Sep-14,21.6,21.14842975,-10.63433448,-4.935139314,-5.082812249
Oct-14,20.5,7.781506404,-16.32418297,-2.981382506,-8.698965687
Nov-14,20.1,13.16795396,-12.56130895,-9.694185163,-11.64691025
Dec-14,19.8,15.28374265,-12.77236795,-19.25865968,-3.933789754
Jan-15,19.8,10.49376831,-6.779299915,-1.223464039,0.586480174
Feb-15,19.5,13.32289734,1.409504498,-11.37279122,-2.316803688
Mar-15,19.0,22.41631867,-1.653411451,-8.140800686,-1.491016081
Apr-15,18.5,25.31725053,7.764159292,-17.51960518,0.159914277
May-15,18.6,33.57543106,25.40370599,-9.685071418,9.242269035
Jun-15,18.2,37.81313969,20.5451325,-9.228589168,9.329805566
Jul-15,18.9,37.2539428,25.73311072,-14.85108879,9.814510183
Aug-15,18.6,24.8122065,19.18801755,-14.15864603,0.968663877
Sep-15,18.8,25.09754334,14.18017727,-6.726962488,12.3419419
Oct-15,18.7,27.62648954,10.69583904,-11.23787881,2.94343947
Nov-15,18.5,37.44246,3.040552773,-9.936909582,-3.044331048
Dec-15,17.8,36.36746222,11.90970308,-2.032690899,7.118870075
Jan-16,18.6,23.6653612,18.29708809,6.076388545,14.62026475
Feb-16,19.6,13.53036398,13.92162886,5.384353193,18.31011911
Mar-16,19.5,0.675697964,3.045305169,-1.214146138,6.141651392
Apr-16,20.0,6.977531339,-19.29776719,-4.915105785,-4.724828565
